################################################################################################################################
		Question: What is the role of a prototype program in problem solving?
		Answer: To simulate the behaviour of portions of the desired software product. 

3.5	[6]	High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.<br><br>

5	[5]	To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.
4	[8]	A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.
5	[3]	Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.
3	[4]	It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.
2	[24]	To find problem and errors in a program before it is finalized
2.5	[9]	To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. 
5	[22]	you can break the whole program into prototype programs to simulate parts of the final program
3.5	[23]	-To provide an example or model of how the finished program should perfom.<br> -Provides forsight of some of the challanges that would be encountered.<br> -Provides opportunity To introduce changes To the finished program.
5	[2]	Simulating the behavior of only a portion of the desired software product.
5	[29]	  A program that stimulates the behavior of portions of the desired software product.
5	[31]	A program that simulates the behavior of portions of the desired software product.
2	[12]	To lay out the basics and give you a starting point in the actual problem solving.
4.5	[21]	To simulate problem solving for parts of the problem
2	[13]	A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.
4.5	[11]	A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.
5	[17]	Program that simulates the behavior of portions of the desired software product
2	[7]	it provides a limited proof of concept to verify with the client before actually programming the whole application.<br>
2	[10]	It tests the main function of the program while leaving out the finer details.<br>
2.5	[27]	To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.
5	[20]	it simulates the behavior of portions of the desired software product
5	[18]	It simulates the behavior of portions of the desired software product.
1.5	[19]	A prototype program is used in problem solving to collect data for the problem.
2.5	[16]	To ease the understanding of problem under discussion and to ease the understanding of the program itself
5	[26]	it simulates the behavior of portions of the desired software product
2	[1]	The role of a prototype program is to help spot key problems that may arise during the actual programing. 
3	[28]	the prototype program gives a general idea of what the end product will do, <br><br>without the time and effort to write out the entire program.
3	[15]	to show that a certain part of the program works as it is supposed to
2.5	[14]	Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution. 
