###############################################################################################################
		Question: What is typically included in a class definition?
		Answer:  Data members (attributes) and member functions.

2	[6]	For us it is usually a set, get, and displayMessge or other messages that tell you what properties a class has but does not reveal its implementations. You could have anything you want in your own class definition.
4	[5]	The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.
5	[8]	Information telling the compiler what data members and member functions belong to the class.
5	[3]	Since class is user defined, the body of the declaration can contain members, that can be either data or function declarations, and optionally access specifiers.  Example for specifiers would be public, private, and protected.  There is the keyword Class and the Class body is enclosed with brackets ({}). 
2	[4]	An object and data.
3	[9]	It's specific class name, includes only information defined by that class... implementation details... etc.
5	[22]	data members and member functions.
5	[23]	A class definition usually contains the function and its data members
5	[2]	Data members and member functions
3.5	[29]	member functions
5	[31]	Member functions and data members belonging to the class.
4.5	[12]	a public and private area that includes the functions and variables that are used in the class
3.5	[21]	the keyword class followed by they class name, on the inside you declare public and private declarations of your class
3	[13]	A class definition typically includes function definitions.
5	[11]	It begins with Class, followed by the class name, then usually a constructor, data members and member functions that delineates the class is included in any class's definition.
4.5	[17]	the data and methods 
4.5	[7]	A constructor, functions, and variables that are accessible to by that class, and possibly other classes depending on how they are done.
5	[10]	Member functions and data members.
2.5	[27]	public section and private section, and there must be a semicolon to set the end
5	[25]	member funtions and data members
5	[20]	Data members and Member functions
5	[18]	data members and member functions
3.5	[19]	the class name and its public data types such as constructors, methods, functions.
4.5	[30]	a constructor and several data members, and at least one public data member or method
2	[16]	class name, two curly prenthesis, public and private
5	[26]	data members and member functions
4.5	[1]	Data and functions
5	[28]	functions and data members that belong to the class
5	[15]	class variables, function definitions for the class
4.5	[14]	A class is an expanded concept of a data structure, it holds both the data and the functions being executed 
